,Type,Date,Affected,Deaths,Relocated
409,Hurricane,2004/9/7,0,0,0
410,Other,2004/9/7,0,1,0
411,Fire,2004/8/30,1,0,0
412,Fire,2004/8/24,3,0,0
413,Fire,2004/8/19,0,0,0
414,Fire,2004/8/4,6,0,0
415,Fire,2004/6/24,1,0,0
416,Gale,2004/6/22,1,0,0
417,Gale,2004/6/21,2,0,0
418,Fire,2004/6/11,6,0,0
419,Fire,2004/6/4,1,0,0
420,Fire,2004/5/28,1,0,0
421,Inundation,2004/5/24,0,0,0
422,Landslide,2004/5/24,4,0,0
423,Fire,2004/4/11,2,0,0
424,Fire,2004/3/26,0,0,0
425,Fire,2004/3/26,2,0,0
426,Fire,2004/3/20,2,0,0
427,Explosion,2004/3/17,0,0,0
428,Fire,2004/2/28,3,0,0
429,Fire,2004/2/12,11,0,0
430,Fire,2004/1/17,1,0,0
431,Fire,1999/12/21,1,0,0
432,Fire,1999/12/18,0,0,0
433,Fire,1999/12/16,6,0,0
434,Fire,1999/12/13,0,0,0
435,Torrential flow,1999/12/8,1,0,0
436,Hurricane,1999/11/17,6,0,0
437,Landslide,1999/11/2,1,0,0
438,Inundation,1999/11/1,0,0,0
439,Fire,1999/10/26,7,0,0
440,Inundation,1999/10/5,0,0,0
441,Fire,1999/10/1,5,0,0
442,Fire,1999/9/13,0,0,0
443,Explosion,1999/9/7,0,0,0
444,Fire,1999/9/12,4,0,0
445,Fire,1999/9/4,7,0,0
446,Electrical storm,1999/9/2,0,0,0
447,Electrical storm,1999/9/2,0,0,0
448,Electrical storm,1999/9/2,0,0,0
449,Fire,1999/8/27,0,0,0
450,Gale,1999/8/26,9,0,0
451,Tornado,1999/8/22,0,0,0
452,Fire,1999/8/13,1,0,0
453,Inundation,1999/7/20,0,0,0
454,Fire,1999/7/15,4,0,0
455,Fire,1999/7/14,4,0,0
456,Fire,1999/6/15,5,0,0
457,Fire,1999/6/6,3,0,0
458,Fire,1999/6/3,1,0,0
459,Fire,1999/6/3,1,0,0
460,Fire,1999/6/3,6,0,0
461,Fire,1999/5/14,4,0,0
462,Fire,1999/5/11,3,0,0
463,Fire,1999/5/6,0,0,0
464,Fire,1999/5/3,0,0,0
465,Fire,1999/4/31,5,0,0
466,Fire,1999/4/28,1,0,0
467,Contamination,1999/4/16,0,0,0
468,Landslide,1999/4/4,1,0,0
469,Fire,1999/4/2,4,0,0
470,Fire,1999/3/30,7,0,0
471,Fire,1999/3/24,4,0,0
472,Fire,1999/3/22,1,0,0
473,Fire,1999/3/22,1,0,0
474,Fire,1999/3/22,0,0,0
475,Fire,1999/3/20,1,0,0
476,Fire,1999/3/19,11,0,0
477,Fire,1999/3/9,1,0,0
478,Fire,1999/3/5,28,0,0
479,Explosion,1992/9/2,0,0,0
480,Fire,1992/8/29,0,0,0
481,Fire,1992/8/20,5,0,0
482,Fire,1992/8/12,0,0,0
483,Fire,1992/8/9,1,0,0
484,Fire,1992/8/5,1,0,0
485,Inundation,2008/9/18,0,0,0
486,Inundation,2008/9/18,0,0,0
487,Inundation,2008/9/18,0,0,0
488,Inundation,2008/9/18,0,0,0
489,Inundation,2008/9/18,0,0,0
490,Inundation,2008/9/18,0,0,0
491,Inundation,2008/9/18,0,0,0
492,Inundation,2008/9/18,0,0,0
