,Serial,Event,Country,Country Code,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
675,1319.0,EQ - Earthquake,Solomon Islands,SLB,1899/1/15,51,0,0,0,0,0,0,1000000.0,0
676,1318.0,EQ - Earthquake,Papua New Guinea,PNG,1899/1/15,0,0,0,0,0,0,0,1000000.0,0
677,1317.0,EQ - Earthquake,Papua New Guinea,PNG,1895/3/6,27,1,0,0,0,0,0,0.0,0
678,1316.0,EQ - Earthquake,Federated States of Micronesia,FSM,1894/1/25,0,0,0,0,0,0,0,1000000.0,0
679,1315.0,TC - Tropical Cyclone,Cook Islands,COK,1890/0/0,14,0,0,0,0,0,0,0.0,0
680,1314.0,TC - Tropical Cyclone,Samoa,WSM,1889/3/13,147,0,0,0,0,0,0,0.0,0
681,1313.0,TS - Tsunami,Papua New Guinea,PNG,1888/3/13,1,0,0,0,0,0,0,0.0,0
682,1312.0,TC - Tropical Cyclone,Fiji,FJI,1886/3/0,0,0,0,0,0,0,0,0.0,0
683,1311.0,EQ - Earthquake,Fiji,FJI,1884/1/0,0,0,0,0,0,0,0,0.0,0
684,1310.0,EQ - Earthquake,Samoa,WSM,1881/11/24,0,0,0,0,0,0,0,0.0,0
685,1309.0,EQ - Earthquake,Fiji,FJI,1881/0/0,0,0,0,0,0,0,0,0.0,0
686,1308.0,EQ - Earthquake,Vanuatu,VUT,1878/2/11,0,0,0,0,0,0,0,0.0,0
687,1307.0,EQ - Earthquake,Papua New Guinea,PNG,1878/2/4,1,0,0,0,0,0,0,0.0,0
688,1306.0,EQ - Earthquake,Vanuatu,VUT,1878/1/10,0,0,0,0,0,0,0,0.0,0
689,1305.0,TS - Tsunami,Fiji,FJI,1877/5/10,0,0,0,0,0,0,0,0.0,0
690,1304.0,EQ - Earthquake,Papua New Guinea,PNG,1875/0/0,0,0,0,0,0,0,0,0.0,0
691,1303.0,EQ - Earthquake,Papua New Guinea,PNG,1873/0/0,0,0,0,0,0,0,0,0.0,0
692,1302.0,TC - Tropical Cyclone,Fiji,FJI,1871/3/21,0,0,0,0,0,0,0,0.0,0
693,1301.0,EQ - Earthquake,Fiji,FJI,1869/10/2,0,0,0,0,0,0,0,0.0,0
694,1300.0,EQ - Earthquake,Samoa,WSM,1868/8/13,2,0,0,0,0,0,0,5000000.0,0
695,1299.0,TC - Tropical Cyclone,Fiji,FJI,1866/3/10,0,0,0,0,0,0,0,0.0,0
696,1298.0,EQ - Earthquake,Tonga,TON,1865/11/18,0,0,0,0,0,0,0,0.0,0
697,1297.0,EQ - Earthquake,Papua New Guinea,PNG,1864/5/21,0,0,0,0,0,0,0,0.0,0
698,1296.0,EQ - Earthquake,Papua New Guinea,PNG,1857/4/17,51,0,0,0,0,0,0,0.0,0
699,1295.0,EQ - Earthquake,Papua New Guinea,PNG,1856/0/0,20,0,0,0,0,0,0,0.0,0
700,1294.0,EQ - Earthquake,Tonga,TON,1853/12/0,0,0,0,0,0,0,0,0.0,0
701,1293.0,EQ - Earthquake,Fiji,FJI,1850/0/0,30,0,0,0,0,0,0,0.0,0
702,1292.0,TC - Tropical Cyclone,Cook Islands,COK,1842/0/0,1,0,0,0,0,0,0,0.0,0
703,1291.0,EQ - Earthquake,Fiji,FJI,1840/0/0,0,0,0,0,0,0,0,0.0,0
704,1771.0,ST - Severe Local Storm,Papua New Guinea,PNG,2008/3/6,0,0,0,0,0,0,0,0.0,0
705,1770.0,FL - Flood,Tonga,TON,2008/2/9,0,0,0,0,0,0,0,10000.0,0
706,1769.0,SS - Storm Surge,Papua New Guinea,PNG,2008/1/30,0,0,0,1500,1500,1500,0,0.0,0
707,1768.0,TC - Tropical Cyclone,Fiji,FJI,2008/1/28,7,0,0,60000,60000,400,0,35000000.0,0
708,1767.0,TC - Tropical Cyclone,Vanuatu,VUT,2008/1/14,0,0,0,0,0,0,0,0.0,0
709,1766.0,TC - Tropical Cyclone,Fiji,FJI,2007/12/5,69,0,0,69,69,0,0,652000.0,0
710,1765.0,EQ - Earthquake,Papua New Guinea,PNG,2007/11/22,0,0,0,0,0,0,0,500000.0,0
